CS,-16.192,124.542
HP,-15.6573333333333,124.55405
WI,-16.26785,124.149133333333
RP,-16.08775,124.484683333333
Ju,-15.2467666666667,124.425516666667
CV,-14.5204833333333,125.0979
BG,-14.419702916711007,129.1168638884568
Wa,-14.0630556,129.7030555
LS,-12.3688889,130.385
DH,-12.7469444,130.73
BI,-11.6341667,130.17166666666668
MI,-11.7333333,131.26666666666668
CoP,-11.3061111,131.87555555555556
GI,-11.7591667,133.30833333333334
Ma,-11.9936111,134.4447222222222
AS,-9.41,135.38
BMB,-13.4897222,136.28555555555553
GE,-13.55,136.4438888888889
VI,-15.7991667,137.09944444444443
NR,-17.451718235039515,140.8118813822083
We,-12.642466367618772,141.7628854105286
HB,-18.8333333,146.5